Paths,S8->Li2S4-Edge 1,S8->Li2S4-Edge 2,S8->Li2S4-Edge 3,S8->Li2S4-Edge 4,S8->Li2S4-Edge 5,S8->Li2S4-Edge 6,S8->Li2S4-Edge 7,S8->Li2S4-Edge 8,S8->Li2S4-Edge 9,Li2S4->Li2S-Edge 1,Li2S4->Li2S-Edge 2,Li2S4->Li2S-Edge 3,Li2S4->Li2S-Edge 4,Li2S4->Li2S-Edge 5,Li2S4->Li2S-Edge 6
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S3* -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-1.134,1.193,-1.211,-0.166,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS4 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-1.134,-0.018,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> S* -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.245,-0.907,0.003,-0.168,0.665,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.245,-1.092,0.188,-0.168,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S5* -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.006,1.204,-0.969,-1.092,0.188,-0.168,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.574,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168
S8* -> *Li2S8 -> *LiS6 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.006,-0.691,0.003,-0.168,0.188,-0.168,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168
